Id,flightNo,date,departure,destination,weekday,month
492,PARO,2017-12-17,Paris,Rome,Sunday,December
493,LODU,2017-12-17,London,Dublin,Sunday,December
494,LOBE,2017-12-17,London,Berlin,Sunday,December
495,LORO,2017-12-17,London,Rome,Sunday,December
496,LOPA,2017-12-17,London,Paris,Sunday,December
497,DUBE,2017-12-17,Dublin,Berlin,Sunday,December
498,DURO,2017-12-17,Dublin,Rome,Sunday,December
499,DUPA,2017-12-17,Dublin,Paris,Sunday,December
500,DULO,2017-12-17,Dublin,London,Sunday,December
501,BERO,2017-12-18,Berlin,Rome,Monday,December
502,BEPA,2017-12-18,Berlin,Paris,Monday,December
503,BELO,2017-12-18,Berlin,London,Monday,December
504,BEDU,2017-12-18,Berlin,Dublin,Monday,December
505,ROBE,2017-12-18,Rome,Berlin,Monday,December
506,ROPA,2017-12-18,Rome,Paris,Monday,December
507,ROLO,2017-12-18,Rome,London,Monday,December
508,RODU,2017-12-18,Rome,Dublin,Monday,December
509,PALO,2017-12-18,Paris,London,Monday,December
510,PADU,2017-12-18,Paris,Dublin,Monday,December
511,PABE,2017-12-18,Paris,Berlin,Monday,December
512,PARO,2017-12-18,Paris,Rome,Monday,December
513,LODU,2017-12-18,London,Dublin,Monday,December
514,LOBE,2017-12-18,London,Berlin,Monday,December
515,LORO,2017-12-18,London,Rome,Monday,December
516,LOPA,2017-12-18,London,Paris,Monday,December
517,DUBE,2017-12-18,Dublin,Berlin,Monday,December
518,DURO,2017-12-18,Dublin,Rome,Monday,December
519,DUPA,2017-12-18,Dublin,Paris,Monday,December
520,DULO,2017-12-18,Dublin,London,Monday,December
521,BERO,2017-12-19,Berlin,Rome,Tuesday,December
522,BEPA,2017-12-19,Berlin,Paris,Tuesday,December
523,BELO,2017-12-19,Berlin,London,Tuesday,December
524,BEDU,2017-12-19,Berlin,Dublin,Tuesday,December
525,ROBE,2017-12-19,Rome,Berlin,Tuesday,December
526,ROPA,2017-12-19,Rome,Paris,Tuesday,December
527,ROLO,2017-12-19,Rome,London,Tuesday,December
528,RODU,2017-12-19,Rome,Dublin,Tuesday,December
529,PALO,2017-12-19,Paris,London,Tuesday,December
530,PADU,2017-12-19,Paris,Dublin,Tuesday,December
531,PABE,2017-12-19,Paris,Berlin,Tuesday,December
532,PARO,2017-12-19,Paris,Rome,Tuesday,December
533,LODU,2017-12-19,London,Dublin,Tuesday,December
534,LOBE,2017-12-19,London,Berlin,Tuesday,December
535,LORO,2017-12-19,London,Rome,Tuesday,December
536,LOPA,2017-12-19,London,Paris,Tuesday,December
537,DUBE,2017-12-19,Dublin,Berlin,Tuesday,December
538,DURO,2017-12-19,Dublin,Rome,Tuesday,December
539,DUPA,2017-12-19,Dublin,Paris,Tuesday,December
540,DULO,2017-12-19,Dublin,London,Tuesday,December
541,BERO,2017-12-20,Berlin,Rome,Wednesday,December
542,BEPA,2017-12-20,Berlin,Paris,Wednesday,December
543,BELO,2017-12-20,Berlin,London,Wednesday,December
544,BEDU,2017-12-20,Berlin,Dublin,Wednesday,December
545,ROBE,2017-12-20,Rome,Berlin,Wednesday,December
546,ROPA,2017-12-20,Rome,Paris,Wednesday,December
547,ROLO,2017-12-20,Rome,London,Wednesday,December
548,RODU,2017-12-20,Rome,Dublin,Wednesday,December
549,PALO,2017-12-20,Paris,London,Wednesday,December
550,PADU,2017-12-20,Paris,Dublin,Wednesday,December
551,PABE,2017-12-20,Paris,Berlin,Wednesday,December
552,PARO,2017-12-20,Paris,Rome,Wednesday,December
553,LODU,2017-12-20,London,Dublin,Wednesday,December
554,LOBE,2017-12-20,London,Berlin,Wednesday,December
555,LORO,2017-12-20,London,Rome,Wednesday,December
556,LOPA,2017-12-20,London,Paris,Wednesday,December
557,DUBE,2017-12-20,Dublin,Berlin,Wednesday,December
558,DURO,2017-12-20,Dublin,Rome,Wednesday,December
559,DUPA,2017-12-20,Dublin,Paris,Wednesday,December
560,DULO,2017-12-20,Dublin,London,Wednesday,December
561,BERO,2017-12-21,Berlin,Rome,Thursday,December
562,BEPA,2017-12-21,Berlin,Paris,Thursday,December
563,BELO,2017-12-21,Berlin,London,Thursday,December
564,BEDU,2017-12-21,Berlin,Dublin,Thursday,December
565,ROBE,2017-12-21,Rome,Berlin,Thursday,December
566,ROPA,2017-12-21,Rome,Paris,Thursday,December
567,ROLO,2017-12-21,Rome,London,Thursday,December
568,RODU,2017-12-21,Rome,Dublin,Thursday,December
569,PALO,2017-12-21,Paris,London,Thursday,December
570,PADU,2017-12-21,Paris,Dublin,Thursday,December
571,PABE,2017-12-21,Paris,Berlin,Thursday,December
572,PARO,2017-12-21,Paris,Rome,Thursday,December
573,LODU,2017-12-21,London,Dublin,Thursday,December
574,LOBE,2017-12-21,London,Berlin,Thursday,December
575,LORO,2017-12-21,London,Rome,Thursday,December
576,LOPA,2017-12-21,London,Paris,Thursday,December
577,DUBE,2017-12-21,Dublin,Berlin,Thursday,December
578,DURO,2017-12-21,Dublin,Rome,Thursday,December
579,DUPA,2017-12-21,Dublin,Paris,Thursday,December
580,DULO,2017-12-21,Dublin,London,Thursday,December
581,BERO,2017-12-22,Berlin,Rome,Friday,December
582,BEPA,2017-12-22,Berlin,Paris,Friday,December
583,BELO,2017-12-22,Berlin,London,Friday,December
584,BEDU,2017-12-22,Berlin,Dublin,Friday,December
585,ROBE,2017-12-22,Rome,Berlin,Friday,December
586,ROPA,2017-12-22,Rome,Paris,Friday,December
587,ROLO,2017-12-22,Rome,London,Friday,December
588,RODU,2017-12-22,Rome,Dublin,Friday,December
589,PALO,2017-12-22,Paris,London,Friday,December
590,PADU,2017-12-22,Paris,Dublin,Friday,December
591,PABE,2017-12-22,Paris,Berlin,Friday,December
592,PARO,2017-12-22,Paris,Rome,Friday,December
593,LODU,2017-12-22,London,Dublin,Friday,December
594,LOBE,2017-12-22,London,Berlin,Friday,December
595,LORO,2017-12-22,London,Rome,Friday,December
596,LOPA,2017-12-22,London,Paris,Friday,December
597,DUBE,2017-12-22,Dublin,Berlin,Friday,December
598,DURO,2017-12-22,Dublin,Rome,Friday,December
599,DUPA,2017-12-22,Dublin,Paris,Friday,December
600,DULO,2017-12-22,Dublin,London,Friday,December
601,BERO,2017-12-23,Berlin,Rome,Saturday,December
602,BEPA,2017-12-23,Berlin,Paris,Saturday,December
603,BELO,2017-12-23,Berlin,London,Saturday,December
604,BEDU,2017-12-23,Berlin,Dublin,Saturday,December
605,ROBE,2017-12-23,Rome,Berlin,Saturday,December
606,ROPA,2017-12-23,Rome,Paris,Saturday,December
607,ROLO,2017-12-23,Rome,London,Saturday,December
608,RODU,2017-12-23,Rome,Dublin,Saturday,December
609,PALO,2017-12-23,Paris,London,Saturday,December
610,PADU,2017-12-23,Paris,Dublin,Saturday,December
611,PABE,2017-12-23,Paris,Berlin,Saturday,December
612,PARO,2017-12-23,Paris,Rome,Saturday,December
613,LODU,2017-12-23,London,Dublin,Saturday,December
614,LOBE,2017-12-23,London,Berlin,Saturday,December
615,LORO,2017-12-23,London,Rome,Saturday,December
616,LOPA,2017-12-23,London,Paris,Saturday,December
617,DUBE,2017-12-23,Dublin,Berlin,Saturday,December
618,DURO,2017-12-23,Dublin,Rome,Saturday,December
619,DUPA,2017-12-23,Dublin,Paris,Saturday,December
620,DULO,2017-12-23,Dublin,London,Saturday,December
621,BERO,2017-12-24,Berlin,Rome,Sunday,December
622,BEPA,2017-12-24,Berlin,Paris,Sunday,December
623,BELO,2017-12-24,Berlin,London,Sunday,December
624,BEDU,2017-12-24,Berlin,Dublin,Sunday,December
625,ROBE,2017-12-24,Rome,Berlin,Sunday,December
626,ROPA,2017-12-24,Rome,Paris,Sunday,December
627,ROLO,2017-12-24,Rome,London,Sunday,December
628,RODU,2017-12-24,Rome,Dublin,Sunday,December
629,PALO,2017-12-24,Paris,London,Sunday,December
630,PADU,2017-12-24,Paris,Dublin,Sunday,December
631,PABE,2017-12-24,Paris,Berlin,Sunday,December
632,PARO,2017-12-24,Paris,Rome,Sunday,December
633,LODU,2017-12-24,London,Dublin,Sunday,December
634,LOBE,2017-12-24,London,Berlin,Sunday,December
635,LORO,2017-12-24,London,Rome,Sunday,December
636,LOPA,2017-12-24,London,Paris,Sunday,December
637,DUBE,2017-12-24,Dublin,Berlin,Sunday,December
638,DURO,2017-12-24,Dublin,Rome,Sunday,December
639,DUPA,2017-12-24,Dublin,Paris,Sunday,December
640,DULO,2017-12-24,Dublin,London,Sunday,December
641,BERO,2017-12-25,Berlin,Rome,Monday,December
642,BEPA,2017-12-25,Berlin,Paris,Monday,December
643,BELO,2017-12-25,Berlin,London,Monday,December
644,BEDU,2017-12-25,Berlin,Dublin,Monday,December
645,ROBE,2017-12-25,Rome,Berlin,Monday,December
646,ROPA,2017-12-25,Rome,Paris,Monday,December
647,ROLO,2017-12-25,Rome,London,Monday,December
648,RODU,2017-12-25,Rome,Dublin,Monday,December
649,PALO,2017-12-25,Paris,London,Monday,December
650,PADU,2017-12-25,Paris,Dublin,Monday,December
651,PABE,2017-12-25,Paris,Berlin,Monday,December
652,PARO,2017-12-25,Paris,Rome,Monday,December
653,LODU,2017-12-25,London,Dublin,Monday,December
654,LOBE,2017-12-25,London,Berlin,Monday,December
655,LORO,2017-12-25,London,Rome,Monday,December
656,LOPA,2017-12-25,London,Paris,Monday,December
657,DUBE,2017-12-25,Dublin,Berlin,Monday,December
658,DURO,2017-12-25,Dublin,Rome,Monday,December
659,DUPA,2017-12-25,Dublin,Paris,Monday,December
660,DULO,2017-12-25,Dublin,London,Monday,December
661,BERO,2017-12-26,Berlin,Rome,Tuesday,December
662,BEPA,2017-12-26,Berlin,Paris,Tuesday,December
663,BELO,2017-12-26,Berlin,London,Tuesday,December
664,BEDU,2017-12-26,Berlin,Dublin,Tuesday,December
665,ROBE,2017-12-26,Rome,Berlin,Tuesday,December
666,ROPA,2017-12-26,Rome,Paris,Tuesday,December
667,ROLO,2017-12-26,Rome,London,Tuesday,December
668,RODU,2017-12-26,Rome,Dublin,Tuesday,December
669,PALO,2017-12-26,Paris,London,Tuesday,December
670,PADU,2017-12-26,Paris,Dublin,Tuesday,December
671,PABE,2017-12-26,Paris,Berlin,Tuesday,December
672,PARO,2017-12-26,Paris,Rome,Tuesday,December
673,LODU,2017-12-26,London,Dublin,Tuesday,December
674,LOBE,2017-12-26,London,Berlin,Tuesday,December
675,LORO,2017-12-26,London,Rome,Tuesday,December
676,LOPA,2017-12-26,London,Paris,Tuesday,December
677,DUBE,2017-12-26,Dublin,Berlin,Tuesday,December
678,DURO,2017-12-26,Dublin,Rome,Tuesday,December
679,DUPA,2017-12-26,Dublin,Paris,Tuesday,December
680,DULO,2017-12-26,Dublin,London,Tuesday,December
681,BERO,2017-12-27,Berlin,Rome,Wednesday,December
682,BEPA,2017-12-27,Berlin,Paris,Wednesday,December
683,BELO,2017-12-27,Berlin,London,Wednesday,December
684,BEDU,2017-12-27,Berlin,Dublin,Wednesday,December
685,ROBE,2017-12-27,Rome,Berlin,Wednesday,December
686,ROPA,2017-12-27,Rome,Paris,Wednesday,December
687,ROLO,2017-12-27,Rome,London,Wednesday,December
688,RODU,2017-12-27,Rome,Dublin,Wednesday,December
689,PALO,2017-12-27,Paris,London,Wednesday,December
690,PADU,2017-12-27,Paris,Dublin,Wednesday,December
691,PABE,2017-12-27,Paris,Berlin,Wednesday,December
692,PARO,2017-12-27,Paris,Rome,Wednesday,December
693,LODU,2017-12-27,London,Dublin,Wednesday,December
694,LOBE,2017-12-27,London,Berlin,Wednesday,December
695,LORO,2017-12-27,London,Rome,Wednesday,December
696,LOPA,2017-12-27,London,Paris,Wednesday,December
697,DUBE,2017-12-27,Dublin,Berlin,Wednesday,December
698,DURO,2017-12-27,Dublin,Rome,Wednesday,December
699,DUPA,2017-12-27,Dublin,Paris,Wednesday,December
700,DULO,2017-12-27,Dublin,London,Wednesday,December
701,BERO,2017-12-28,Berlin,Rome,Thursday,December
702,BEPA,2017-12-28,Berlin,Paris,Thursday,December
703,BELO,2017-12-28,Berlin,London,Thursday,December
704,BEDU,2017-12-28,Berlin,Dublin,Thursday,December
705,ROBE,2017-12-28,Rome,Berlin,Thursday,December
706,ROPA,2017-12-28,Rome,Paris,Thursday,December
707,ROLO,2017-12-28,Rome,London,Thursday,December
708,RODU,2017-12-28,Rome,Dublin,Thursday,December
709,PALO,2017-12-28,Paris,London,Thursday,December
710,PADU,2017-12-28,Paris,Dublin,Thursday,December
711,PABE,2017-12-28,Paris,Berlin,Thursday,December
712,PARO,2017-12-28,Paris,Rome,Thursday,December
713,LODU,2017-12-28,London,Dublin,Thursday,December
714,LOBE,2017-12-28,London,Berlin,Thursday,December
715,LORO,2017-12-28,London,Rome,Thursday,December
716,LOPA,2017-12-28,London,Paris,Thursday,December
717,DUBE,2017-12-28,Dublin,Berlin,Thursday,December
718,DURO,2017-12-28,Dublin,Rome,Thursday,December
719,DUPA,2017-12-28,Dublin,Paris,Thursday,December
720,DULO,2017-12-28,Dublin,London,Thursday,December
721,BERO,2017-12-29,Berlin,Rome,Friday,December
722,BEPA,2017-12-29,Berlin,Paris,Friday,December
723,BELO,2017-12-29,Berlin,London,Friday,December
724,BEDU,2017-12-29,Berlin,Dublin,Friday,December
725,ROBE,2017-12-29,Rome,Berlin,Friday,December
726,ROPA,2017-12-29,Rome,Paris,Friday,December
727,ROLO,2017-12-29,Rome,London,Friday,December
728,RODU,2017-12-29,Rome,Dublin,Friday,December
729,PALO,2017-12-29,Paris,London,Friday,December
730,PADU,2017-12-29,Paris,Dublin,Friday,December
731,PABE,2017-12-29,Paris,Berlin,Friday,December
732,PARO,2017-12-29,Paris,Rome,Friday,December
733,LODU,2017-12-29,London,Dublin,Friday,December
734,LOBE,2017-12-29,London,Berlin,Friday,December
735,LORO,2017-12-29,London,Rome,Friday,December
736,LOPA,2017-12-29,London,Paris,Friday,December
737,DUBE,2017-12-29,Dublin,Berlin,Friday,December
738,DURO,2017-12-29,Dublin,Rome,Friday,December
739,DUPA,2017-12-29,Dublin,Paris,Friday,December
740,DULO,2017-12-29,Dublin,London,Friday,December
741,BERO,2017-12-30,Berlin,Rome,Saturday,December
742,BEPA,2017-12-30,Berlin,Paris,Saturday,December
743,BELO,2017-12-30,Berlin,London,Saturday,December
744,BEDU,2017-12-30,Berlin,Dublin,Saturday,December
745,ROBE,2017-12-30,Rome,Berlin,Saturday,December
746,ROPA,2017-12-30,Rome,Paris,Saturday,December
747,ROLO,2017-12-30,Rome,London,Saturday,December
748,RODU,2017-12-30,Rome,Dublin,Saturday,December
749,PALO,2017-12-30,Paris,London,Saturday,December
750,PADU,2017-12-30,Paris,Dublin,Saturday,December
751,PABE,2017-12-30,Paris,Berlin,Saturday,December
752,PARO,2017-12-30,Paris,Rome,Saturday,December
753,LODU,2017-12-30,London,Dublin,Saturday,December
754,LOBE,2017-12-30,London,Berlin,Saturday,December
755,LORO,2017-12-30,London,Rome,Saturday,December
756,LOPA,2017-12-30,London,Paris,Saturday,December
757,DUBE,2017-12-30,Dublin,Berlin,Saturday,December
758,DURO,2017-12-30,Dublin,Rome,Saturday,December
759,DUPA,2017-12-30,Dublin,Paris,Saturday,December
760,DULO,2017-12-30,Dublin,London,Saturday,December
761,BERO,2017-12-31,Berlin,Rome,Sunday,December
762,BEPA,2017-12-31,Berlin,Paris,Sunday,December
763,BELO,2017-12-31,Berlin,London,Sunday,December
764,BEDU,2017-12-31,Berlin,Dublin,Sunday,December
765,ROBE,2017-12-31,Rome,Berlin,Sunday,December
766,ROPA,2017-12-31,Rome,Paris,Sunday,December
767,ROLO,2017-12-31,Rome,London,Sunday,December
768,RODU,2017-12-31,Rome,Dublin,Sunday,December
769,PALO,2017-12-31,Paris,London,Sunday,December
770,PADU,2017-12-31,Paris,Dublin,Sunday,December
771,PABE,2017-12-31,Paris,Berlin,Sunday,December
772,PARO,2017-12-31,Paris,Rome,Sunday,December
773,LODU,2017-12-31,London,Dublin,Sunday,December
774,LOBE,2017-12-31,London,Berlin,Sunday,December
775,LORO,2017-12-31,London,Rome,Sunday,December
776,LOPA,2017-12-31,London,Paris,Sunday,December
777,DUBE,2017-12-31,Dublin,Berlin,Sunday,December
778,DURO,2017-12-31,Dublin,Rome,Sunday,December
779,DUPA,2017-12-31,Dublin,Paris,Sunday,December
780,DULO,2017-12-31,Dublin,London,Sunday,December
781,BERO,2018-01-01,Berlin,Rome,Monday,January
782,BEPA,2018-01-01,Berlin,Paris,Monday,January
783,BELO,2018-01-01,Berlin,London,Monday,January
784,BEDU,2018-01-01,Berlin,Dublin,Monday,January
785,ROBE,2018-01-01,Rome,Berlin,Monday,January
786,ROPA,2018-01-01,Rome,Paris,Monday,January
787,ROLO,2018-01-01,Rome,London,Monday,January
788,RODU,2018-01-01,Rome,Dublin,Monday,January
789,PALO,2018-01-01,Paris,London,Monday,January
790,PADU,2018-01-01,Paris,Dublin,Monday,January
791,PABE,2018-01-01,Paris,Berlin,Monday,January
792,PARO,2018-01-01,Paris,Rome,Monday,January
793,LODU,2018-01-01,London,Dublin,Monday,January
794,LOBE,2018-01-01,London,Berlin,Monday,January
795,LORO,2018-01-01,London,Rome,Monday,January
796,LOPA,2018-01-01,London,Paris,Monday,January
797,DUBE,2018-01-01,Dublin,Berlin,Monday,January
798,DURO,2018-01-01,Dublin,Rome,Monday,January
799,DUPA,2018-01-01,Dublin,Paris,Monday,January
800,DULO,2018-01-01,Dublin,London,Monday,January
801,BERO,2018-01-02,Berlin,Rome,Tuesday,January
802,BEPA,2018-01-02,Berlin,Paris,Tuesday,January
803,BELO,2018-01-02,Berlin,London,Tuesday,January
804,BEDU,2018-01-02,Berlin,Dublin,Tuesday,January
805,ROBE,2018-01-02,Rome,Berlin,Tuesday,January
806,ROPA,2018-01-02,Rome,Paris,Tuesday,January
807,ROLO,2018-01-02,Rome,London,Tuesday,January
808,RODU,2018-01-02,Rome,Dublin,Tuesday,January
809,PALO,2018-01-02,Paris,London,Tuesday,January
810,PADU,2018-01-02,Paris,Dublin,Tuesday,January
811,PABE,2018-01-02,Paris,Berlin,Tuesday,January
812,PARO,2018-01-02,Paris,Rome,Tuesday,January
813,LODU,2018-01-02,London,Dublin,Tuesday,January
814,LOBE,2018-01-02,London,Berlin,Tuesday,January
815,LORO,2018-01-02,London,Rome,Tuesday,January
816,LOPA,2018-01-02,London,Paris,Tuesday,January
817,DUBE,2018-01-02,Dublin,Berlin,Tuesday,January
818,DURO,2018-01-02,Dublin,Rome,Tuesday,January
819,DUPA,2018-01-02,Dublin,Paris,Tuesday,January
820,DULO,2018-01-02,Dublin,London,Tuesday,January
821,BERO,2018-01-03,Berlin,Rome,Wednesday,January
822,BEPA,2018-01-03,Berlin,Paris,Wednesday,January
823,BELO,2018-01-03,Berlin,London,Wednesday,January
824,BEDU,2018-01-03,Berlin,Dublin,Wednesday,January
825,ROBE,2018-01-03,Rome,Berlin,Wednesday,January
826,ROPA,2018-01-03,Rome,Paris,Wednesday,January
827,ROLO,2018-01-03,Rome,London,Wednesday,January
828,RODU,2018-01-03,Rome,Dublin,Wednesday,January
829,PALO,2018-01-03,Paris,London,Wednesday,January
830,PADU,2018-01-03,Paris,Dublin,Wednesday,January
831,PABE,2018-01-03,Paris,Berlin,Wednesday,January
832,PARO,2018-01-03,Paris,Rome,Wednesday,January
833,LODU,2018-01-03,London,Dublin,Wednesday,January
834,LOBE,2018-01-03,London,Berlin,Wednesday,January
835,LORO,2018-01-03,London,Rome,Wednesday,January
836,LOPA,2018-01-03,London,Paris,Wednesday,January
837,DUBE,2018-01-03,Dublin,Berlin,Wednesday,January
838,DURO,2018-01-03,Dublin,Rome,Wednesday,January
839,DUPA,2018-01-03,Dublin,Paris,Wednesday,January
840,DULO,2018-01-03,Dublin,London,Wednesday,January
841,BERO,2018-01-04,Berlin,Rome,Thursday,January
842,BEPA,2018-01-04,Berlin,Paris,Thursday,January
843,BELO,2018-01-04,Berlin,London,Thursday,January
844,BEDU,2018-01-04,Berlin,Dublin,Thursday,January
845,ROBE,2018-01-04,Rome,Berlin,Thursday,January
846,ROPA,2018-01-04,Rome,Paris,Thursday,January
847,ROLO,2018-01-04,Rome,London,Thursday,January
848,RODU,2018-01-04,Rome,Dublin,Thursday,January
849,PALO,2018-01-04,Paris,London,Thursday,January
850,PADU,2018-01-04,Paris,Dublin,Thursday,January
851,PABE,2018-01-04,Paris,Berlin,Thursday,January
852,PARO,2018-01-04,Paris,Rome,Thursday,January
853,LODU,2018-01-04,London,Dublin,Thursday,January
854,LOBE,2018-01-04,London,Berlin,Thursday,January
855,LORO,2018-01-04,London,Rome,Thursday,January
856,LOPA,2018-01-04,London,Paris,Thursday,January
857,DUBE,2018-01-04,Dublin,Berlin,Thursday,January
858,DURO,2018-01-04,Dublin,Rome,Thursday,January
859,DUPA,2018-01-04,Dublin,Paris,Thursday,January
860,DULO,2018-01-04,Dublin,London,Thursday,January
861,BERO,2018-01-05,Berlin,Rome,Friday,January
862,BEPA,2018-01-05,Berlin,Paris,Friday,January
863,BELO,2018-01-05,Berlin,London,Friday,January
864,BEDU,2018-01-05,Berlin,Dublin,Friday,January
865,ROBE,2018-01-05,Rome,Berlin,Friday,January
866,ROPA,2018-01-05,Rome,Paris,Friday,January
867,ROLO,2018-01-05,Rome,London,Friday,January
868,RODU,2018-01-05,Rome,Dublin,Friday,January
869,PALO,2018-01-05,Paris,London,Friday,January
870,PADU,2018-01-05,Paris,Dublin,Friday,January
871,PABE,2018-01-05,Paris,Berlin,Friday,January
872,PARO,2018-01-05,Paris,Rome,Friday,January
873,LODU,2018-01-05,London,Dublin,Friday,January
874,LOBE,2018-01-05,London,Berlin,Friday,January
875,LORO,2018-01-05,London,Rome,Friday,January
876,LOPA,2018-01-05,London,Paris,Friday,January
877,DUBE,2018-01-05,Dublin,Berlin,Friday,January
878,DURO,2018-01-05,Dublin,Rome,Friday,January
879,DUPA,2018-01-05,Dublin,Paris,Friday,January
880,DULO,2018-01-05,Dublin,London,Friday,January
881,BERO,2018-01-06,Berlin,Rome,Saturday,January
882,BEPA,2018-01-06,Berlin,Paris,Saturday,January
883,BELO,2018-01-06,Berlin,London,Saturday,January
884,BEDU,2018-01-06,Berlin,Dublin,Saturday,January
885,ROBE,2018-01-06,Rome,Berlin,Saturday,January
886,ROPA,2018-01-06,Rome,Paris,Saturday,January
887,ROLO,2018-01-06,Rome,London,Saturday,January
888,RODU,2018-01-06,Rome,Dublin,Saturday,January
889,PALO,2018-01-06,Paris,London,Saturday,January
890,PADU,2018-01-06,Paris,Dublin,Saturday,January
891,PABE,2018-01-06,Paris,Berlin,Saturday,January
892,PARO,2018-01-06,Paris,Rome,Saturday,January
893,LODU,2018-01-06,London,Dublin,Saturday,January
894,LOBE,2018-01-06,London,Berlin,Saturday,January
895,LORO,2018-01-06,London,Rome,Saturday,January
896,LOPA,2018-01-06,London,Paris,Saturday,January
897,DUBE,2018-01-06,Dublin,Berlin,Saturday,January
898,DURO,2018-01-06,Dublin,Rome,Saturday,January
899,DUPA,2018-01-06,Dublin,Paris,Saturday,January
900,DULO,2018-01-06,Dublin,London,Saturday,January
901,BERO,2018-01-07,Berlin,Rome,Sunday,January
902,BEPA,2018-01-07,Berlin,Paris,Sunday,January
903,BELO,2018-01-07,Berlin,London,Sunday,January
904,BEDU,2018-01-07,Berlin,Dublin,Sunday,January
905,ROBE,2018-01-07,Rome,Berlin,Sunday,January
906,ROPA,2018-01-07,Rome,Paris,Sunday,January
907,ROLO,2018-01-07,Rome,London,Sunday,January
908,RODU,2018-01-07,Rome,Dublin,Sunday,January
909,PALO,2018-01-07,Paris,London,Sunday,January
910,PADU,2018-01-07,Paris,Dublin,Sunday,January
911,PABE,2018-01-07,Paris,Berlin,Sunday,January
912,PARO,2018-01-07,Paris,Rome,Sunday,January
913,LODU,2018-01-07,London,Dublin,Sunday,January
914,LOBE,2018-01-07,London,Berlin,Sunday,January
915,LORO,2018-01-07,London,Rome,Sunday,January
916,LOPA,2018-01-07,London,Paris,Sunday,January
917,DUBE,2018-01-07,Dublin,Berlin,Sunday,January
918,DURO,2018-01-07,Dublin,Rome,Sunday,January
919,DUPA,2018-01-07,Dublin,Paris,Sunday,January
920,DULO,2018-01-07,Dublin,London,Sunday,January
921,BERO,2018-01-08,Berlin,Rome,Monday,January
922,BEPA,2018-01-08,Berlin,Paris,Monday,January
923,BELO,2018-01-08,Berlin,London,Monday,January
924,BEDU,2018-01-08,Berlin,Dublin,Monday,January
925,ROBE,2018-01-08,Rome,Berlin,Monday,January
926,ROPA,2018-01-08,Rome,Paris,Monday,January
927,ROLO,2018-01-08,Rome,London,Monday,January
928,RODU,2018-01-08,Rome,Dublin,Monday,January
929,PALO,2018-01-08,Paris,London,Monday,January
930,PADU,2018-01-08,Paris,Dublin,Monday,January
931,PABE,2018-01-08,Paris,Berlin,Monday,January
932,PARO,2018-01-08,Paris,Rome,Monday,January
933,LODU,2018-01-08,London,Dublin,Monday,January
934,LOBE,2018-01-08,London,Berlin,Monday,January
935,LORO,2018-01-08,London,Rome,Monday,January
936,LOPA,2018-01-08,London,Paris,Monday,January
937,DUBE,2018-01-08,Dublin,Berlin,Monday,January
938,DURO,2018-01-08,Dublin,Rome,Monday,January
939,DUPA,2018-01-08,Dublin,Paris,Monday,January
940,DULO,2018-01-08,Dublin,London,Monday,January
941,BERO,2018-01-09,Berlin,Rome,Tuesday,January
942,BEPA,2018-01-09,Berlin,Paris,Tuesday,January
943,BELO,2018-01-09,Berlin,London,Tuesday,January
944,BEDU,2018-01-09,Berlin,Dublin,Tuesday,January
945,ROBE,2018-01-09,Rome,Berlin,Tuesday,January
946,ROPA,2018-01-09,Rome,Paris,Tuesday,January
947,ROLO,2018-01-09,Rome,London,Tuesday,January
948,RODU,2018-01-09,Rome,Dublin,Tuesday,January
949,PALO,2018-01-09,Paris,London,Tuesday,January
950,PADU,2018-01-09,Paris,Dublin,Tuesday,January
951,PABE,2018-01-09,Paris,Berlin,Tuesday,January
952,PARO,2018-01-09,Paris,Rome,Tuesday,January
953,LODU,2018-01-09,London,Dublin,Tuesday,January
954,LOBE,2018-01-09,London,Berlin,Tuesday,January
955,LORO,2018-01-09,London,Rome,Tuesday,January
956,LOPA,2018-01-09,London,Paris,Tuesday,January
957,DUBE,2018-01-09,Dublin,Berlin,Tuesday,January
958,DURO,2018-01-09,Dublin,Rome,Tuesday,January
959,DUPA,2018-01-09,Dublin,Paris,Tuesday,January
960,DULO,2018-01-09,Dublin,London,Tuesday,January
961,BERO,2018-01-10,Berlin,Rome,Wednesday,January
962,BEPA,2018-01-10,Berlin,Paris,Wednesday,January
963,BELO,2018-01-10,Berlin,London,Wednesday,January
964,BEDU,2018-01-10,Berlin,Dublin,Wednesday,January
965,ROBE,2018-01-10,Rome,Berlin,Wednesday,January
966,ROPA,2018-01-10,Rome,Paris,Wednesday,January
967,ROLO,2018-01-10,Rome,London,Wednesday,January
968,RODU,2018-01-10,Rome,Dublin,Wednesday,January
969,PALO,2018-01-10,Paris,London,Wednesday,January
970,PADU,2018-01-10,Paris,Dublin,Wednesday,January
971,PABE,2018-01-10,Paris,Berlin,Wednesday,January
972,PARO,2018-01-10,Paris,Rome,Wednesday,January
973,LODU,2018-01-10,London,Dublin,Wednesday,January
974,LOBE,2018-01-10,London,Berlin,Wednesday,January
975,LORO,2018-01-10,London,Rome,Wednesday,January
976,LOPA,2018-01-10,London,Paris,Wednesday,January
977,DUBE,2018-01-10,Dublin,Berlin,Wednesday,January
978,DURO,2018-01-10,Dublin,Rome,Wednesday,January
979,DUPA,2018-01-10,Dublin,Paris,Wednesday,January
980,DULO,2018-01-10,Dublin,London,Wednesday,January
981,BERO,2018-01-11,Berlin,Rome,Thursday,January
